customer_id,customer_name,email,gender,age,geography,tenure_months,monthly_charges,total_charges,contract_type,payment_method,support_tickets,last_login_date,signup_date,churn_status,churn_date,created_at
81291,Aditi Verma,customer81291@analyticsplatform.com,Female,24,Chennai,63,1363.02,81576.75,Annual,Credit Card,1,2026-05-30,2021-05-25,f,,2026-08-25 16:30:07.785395
81292,Akash Gupta,customer81292@analyticsplatform.com,Female,50,Bengaluru,72,1263.43,82779.93,Quarterly,Debit Card,0,2026-07-07,2020-08-25,f,,2026-08-25 16:30:07.785395
81293,Riya Mishra,customer81293@analyticsplatform.com,Male,40,Bengaluru,37,2647.21,94028.90,Quarterly,Debit Card,0,2026-07-13,2023-07-25,f,,2026-08-25 16:30:07.785395
81294,Riya Jain,customer81294@analyticsplatform.com,Male,64,Delhi,53,1967.54,106365.21,Annual,Credit Card,6,2026-05-30,2022-03-25,t,2022-04-07,2026-08-25 16:30:07.785395
81295,Kavya Singh,customer81295@analyticsplatform.com,Female,32,Kolkata,46,1193.77,56560.82,Quarterly,Debit Card,3,2026-05-07,2022-10-25,f,,2026-08-25 16:30:07.785395
81296,Vivaan Singh,customer81296@analyticsplatform.com,Male,35,Delhi,65,2446.37,143112.64,Monthly,Debit Card,7,2026-08-11,2021-03-25,t,2026-01-16,2026-08-25 16:30:07.785395
81297,Siddharth Yadav,customer81297@analyticsplatform.com,Male,43,Pune,13,3276.45,36630.71,Quarterly,Digital Wallet,0,2026-06-23,2025-07-25,f,,2026-08-25 16:30:07.785395
81298,Nisha Nair,customer81298@analyticsplatform.com,Male,26,Hyderabad,29,2172.61,54184.89,Quarterly,UPI,4,2026-08-06,2024-03-25,f,,2026-08-25 16:30:07.785395
81299,Sakshi Shetty,customer81299@analyticsplatform.com,Male,47,Delhi,56,3299.26,166282.70,Annual,Debit Card,5,2026-07-03,2021-12-25,f,,2026-08-25 16:30:07.785395
81300,Kabir Shetty,customer81300@analyticsplatform.com,Male,36,Delhi,61,1850.18,115118.20,Annual,Digital Wallet,5,2026-05-03,2021-07-25,f,,2026-08-25 16:30:07.785395
81301,Simran Kulkarni,customer81301@analyticsplatform.com,Female,46,Chennai,10,3800.32,37623.17,Monthly,Debit Card,2,2026-05-03,2025-10-25,t,2025-12-21,2026-08-25 16:30:07.785395
81302,Arjun Iyer,customer81302@analyticsplatform.com,Female,73,Chennai,58,2676.00,155208.00,Annual,UPI,7,2026-06-22,2021-10-25,f,,2026-08-25 16:30:07.785395
81303,Sneha Naidu,customer81303@analyticsplatform.com,Female,36,Nagpur,64,2111.49,136486.71,Monthly,Credit Card,4,2026-05-14,2021-04-25,f,,2026-08-25 16:30:07.785395
81304,Kabir Singh,customer81304@analyticsplatform.com,Female,24,Hyderabad,52,3913.44,181114.00,Annual,Debit Card,0,2026-05-05,2022-04-25,f,,2026-08-25 16:30:07.785395
81305,Kavya Chopra,customer81305@analyticsplatform.com,Male,44,Pune,47,796.27,33307.97,Quarterly,Digital Wallet,1,2026-08-13,2022-09-25,f,,2026-08-25 16:30:07.785395
81306,Pooja Mehta,customer81306@analyticsplatform.com,Female,24,Ahmedabad,47,902.72,37336.50,Monthly,Digital Wallet,3,2026-07-28,2022-09-25,f,,2026-08-25 16:30:07.785395
81307,Sakshi Verma,customer81307@analyticsplatform.com,Male,67,Jaipur,69,3876.03,278143.91,Monthly,Debit Card,4,2026-07-15,2020-11-25,f,,2026-08-25 16:30:07.785395
81308,Arjun Chopra,customer81308@analyticsplatform.com,Female,51,Nagpur,39,921.71,37025.09,Quarterly,Debit Card,3,2026-06-04,2023-05-25,f,,2026-08-25 16:30:07.785395
81309,Tanvi Jain,customer81309@analyticsplatform.com,Female,69,Hyderabad,52,2677.59,133665.29,Quarterly,Debit Card,8,2026-05-11,2022-04-25,t,2025-05-21,2026-08-25 16:30:07.785395
81310,Arjun Bose,customer81310@analyticsplatform.com,Male,23,Hyderabad,34,2716.21,96045.19,Annual,Net Banking,5,2026-05-31,2023-10-25,f,,2026-08-25 16:30:07.785395
81311,Siddharth Khalse,customer81311@analyticsplatform.com,Male,24,Chennai,49,1584.35,67540.84,Annual,Debit Card,3,2026-07-31,2022-07-25,f,,2026-08-25 16:30:07.785395
81312,Vihaan Chopra,customer81312@analyticsplatform.com,Female,67,Chennai,63,1155.10,70588.16,Quarterly,Net Banking,4,2026-06-14,2021-05-25,f,,2026-08-25 16:30:07.785395
81313,Isha Khalse,customer81313@analyticsplatform.com,Male,74,Hyderabad,20,624.71,12619.14,Annual,Net Banking,1,2026-06-02,2024-12-25,f,,2026-08-25 16:30:07.785395
81314,Pooja Roy,customer81314@analyticsplatform.com,Male,47,Nagpur,50,3119.14,143480.44,Quarterly,Net Banking,6,2026-06-06,2022-06-25,t,2026-05-17,2026-08-25 16:30:07.785395
81315,Aarav Verma,customer81315@analyticsplatform.com,Male,48,Ahmedabad,27,2056.31,50523.54,Quarterly,Net Banking,2,2026-07-03,2024-05-25,f,,2026-08-25 16:30:07.785395
81316,Sneha Deshmukh,customer81316@analyticsplatform.com,Male,59,Hyderabad,29,2349.37,59274.61,Monthly,Digital Wallet,8,2026-05-23,2024-03-25,f,,2026-08-25 16:30:07.785395
81317,Tanvi Sharma,customer81317@analyticsplatform.com,Male,25,Nagpur,10,527.44,5327.14,Monthly,Credit Card,6,2026-05-05,2025-10-25,t,2025-11-26,2026-08-25 16:30:07.785395
81318,Aman Jain,customer81318@analyticsplatform.com,Female,31,Pune,30,2820.68,75312.16,Quarterly,Digital Wallet,5,2026-05-15,2024-02-25,f,,2026-08-25 16:30:07.785395
81319,Meera Jain,customer81319@analyticsplatform.com,Female,23,Pune,66,1828.48,114645.70,Monthly,Net Banking,2,2026-05-10,2021-02-25,f,,2026-08-25 16:30:07.785395
81320,Akash Mehta,customer81320@analyticsplatform.com,Female,43,Mumbai,15,817.38,10544.20,Monthly,Digital Wallet,2,2026-07-28,2025-05-25,f,,2026-08-25 16:30:07.785395
81321,Arjun Shah,customer81321@analyticsplatform.com,Female,32,Delhi,27,1768.58,42976.49,Annual,Net Banking,2,2026-07-19,2024-05-25,f,,2026-08-25 16:30:07.785395
81322,Vivaan Sharma,customer81322@analyticsplatform.com,Female,20,Chennai,9,2503.54,20729.31,Quarterly,UPI,5,2026-06-09,2025-11-25,f,,2026-08-25 16:30:07.785395
81323,Pooja Gupta,customer81323@analyticsplatform.com,Male,71,Chennai,69,2825.68,187173.04,Monthly,Net Banking,1,2026-06-01,2020-11-25,f,,2026-08-25 16:30:07.785395
81324,Aarav Sharma,customer81324@analyticsplatform.com,Male,47,Chennai,53,589.10,32783.42,Quarterly,Net Banking,0,2026-04-29,2022-03-25,f,,2026-08-25 16:30:07.785395
81325,Nisha Gupta,customer81325@analyticsplatform.com,Male,33,Delhi,54,2133.05,110577.31,Monthly,Credit Card,8,2026-05-27,2022-02-25,f,,2026-08-25 16:30:07.785395
81326,Aditya Deshmukh,customer81326@analyticsplatform.com,Female,55,Kolkata,47,849.76,34347.30,Quarterly,Net Banking,5,2026-05-31,2022-09-25,f,,2026-08-25 16:30:07.785395
81327,Nisha Jain,customer81327@analyticsplatform.com,Male,67,Pune,30,688.52,20035.93,Monthly,Debit Card,1,2026-05-14,2024-02-25,f,,2026-08-25 16:30:07.785395
81328,Aanya Mishra,customer81328@analyticsplatform.com,Female,29,Pune,17,2803.16,47653.72,Annual,Credit Card,4,2026-08-14,2025-03-25,f,,2026-08-25 16:30:07.785395
81329,Isha Patel,customer81329@analyticsplatform.com,Male,48,Jaipur,11,2316.47,25226.36,Quarterly,Debit Card,3,2026-06-20,2025-09-25,f,,2026-08-25 16:30:07.785395
81330,Aditi Khalse,customer81330@analyticsplatform.com,Female,39,Pune,63,709.16,46464.16,Annual,Debit Card,8,2026-06-25,2021-05-25,f,,2026-08-25 16:30:07.785395
81331,Siddharth Patel,customer81331@analyticsplatform.com,Male,33,Nagpur,46,3869.87,181574.30,Annual,Credit Card,7,2026-06-06,2022-10-25,f,,2026-08-25 16:30:07.785395
81332,Aarav Iyer,customer81332@analyticsplatform.com,Male,20,Chennai,55,2570.45,131478.52,Quarterly,Net Banking,2,2026-08-10,2022-01-25,f,,2026-08-25 16:30:07.785395
81333,Kabir Kulkarni,customer81333@analyticsplatform.com,Male,48,Jaipur,22,2291.22,47382.43,Monthly,Credit Card,7,2026-06-02,2024-10-25,f,,2026-08-25 16:30:07.785395
81334,Rahul Shetty,customer81334@analyticsplatform.com,Female,29,Kolkata,41,3124.68,111457.34,Quarterly,Debit Card,4,2026-07-08,2023-03-25,t,2024-03-05,2026-08-25 16:30:07.785395
81335,Reyansh Das,customer81335@analyticsplatform.com,Male,55,Nagpur,49,557.78,28697.78,Quarterly,Net Banking,0,2026-05-14,2022-07-25,f,,2026-08-25 16:30:07.785395
81336,Vihaan Kulkarni,customer81336@analyticsplatform.com,Male,66,Kolkata,41,1068.81,42944.79,Annual,UPI,3,2026-06-13,2023-03-25,f,,2026-08-25 16:30:07.785395
81337,Priya Roy,customer81337@analyticsplatform.com,Male,58,Ahmedabad,11,3894.41,40696.58,Monthly,Debit Card,7,2026-07-12,2025-09-25,f,,2026-08-25 16:30:07.785395
81338,Vihaan Khalse,customer81338@analyticsplatform.com,Female,30,Nagpur,7,2394.87,14417.12,Annual,Digital Wallet,3,2026-06-08,2026-01-25,f,,2026-08-25 16:30:07.785395
